"Relative Time","Hits"
"00:00","0.125"
"00:16","1.063"
"00:32","0.125"
"00:48","2"
"01:04","1.25"
"01:20","1.125"
"01:36","1.25"
"01:52","1.25"
"02:08","1.75"
"02:24","1.063"
"02:40","1"
"02:56","0.813"
"03:12","0.125"
"03:28","0.938"
"03:44","0.75"
"04:00","0.875"
"04:16","0.125"
"04:32","0.875"
"04:48","0.813"
"05:04","0.563"
"05:20","0.063"
"05:36","0.75"
"05:52","0.813"
"06:08","0.125"
"06:24","0.813"
"06:40","0.438"
"06:56","0.063"
"07:12","0.063"
"07:28","0.75"
"07:44","0"
"08:00","0.125"
"08:16","0"
"08:32","2.333"
