"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:16","0","","1.839"
"00:32","0","","1.603"
"00:48","0","","1.963"
"01:04","0","","1.751"
"01:20","0","","1.566"
"01:36","0","","1.605"
"01:52","0","","1.835"
"02:08","0","","1.562"
"02:24","0","","1.655"
"02:40","0","",""
"02:56","0","",""
"03:12","0","",""
"03:28","0","",""
"03:44","0","",""
"04:00","0","0",""
"04:16","0","",""
"04:32","0","",""
"04:48","0","0",""
"05:04","0","0.72",""
"05:20","0","0",""
"05:36","0","",""
"05:52","0","",""
"06:08","0","",""
"06:24","0","0",""
"06:40","0","0.733",""
"06:56","0","0",""
"07:12","0","",""
"07:28","0","",""
"07:44","0","",""
"08:00","0","0",""
"08:32","","0.666",""
